Time (ms),UNKNOWN,STILL,FALLING,STOPPED
92045336,0.000000,,,
167,,0.995065,,
183,,1.032279,,
188,,1.032279,,
208,,1.032279,,
210,,1.024367,,
217,,1.021014,,
235,,1.024367,,
242,,1.024367,,
252,,1.024367,,
257,,1.032279,,
272,,1.028952,,
278,,1.024367,,
293,,1.024367,,
297,,1.024367,,
312,,0.986855,,
327,,0.986855,,
328,,1.024367,,
346,,1.032279,,
348,,1.032279,,
363,,1.032279,,
378,,1.024367,,
379,,1.024367,,
394,,1.024367,,
398,,1.024367,,
414,,1.024367,,
423,,1.032279,,
428,,1.041552,,
443,,1.038254,,
448,,1.028952,,
468,,1.024367,,
473,,0.980087,,
479,,0.980087,,
494,,0.986855,,
498,,1.024367,,
516,,1.028952,,
519,,1.038254,,
534,,1.028952,,
539,,1.028952,,
554,,1.024367,,
561,,1.017848,,
578,,1.017848,,
579,,1.024367,,
594,,1.032279,,
609,,1.032279,,
611,,1.024367,,
626,,1.024367,,
631,,1.024367,,
646,,1.024367,,
651,,1.024367,,
667,,1.024367,,
674,,1.024367,,
681,,1.028952,,
697,,1.028952,,
715,,1.028952,,
717,,1.028952,,
734,,1.032279,,
735,1.061947,,,
750,1.099587,,,
752,1.137283,,,
768,1.111290,,,
775,1.069581,,,
783,,1.032279,,
798,,0.991613,,
813,,0.989536,,
823,,0.951486,,
839,0.830270,,,
845,0.747706,,,
860,0.710162,,,
865,0.555161,,,
882,0.377202,,,
884,,,0.113505,
899,,,0.037037,
914,,,0.054393,
915,,,0.000000,
935,,,0.038462,
973,,,0.038462,
978,,,0.038462,
993,,,0.000000,
995,,,0.038462,
1017,,,0.038462,
1033,,,0.038462,
1037,,,0.038462,
1048,,,0.038462,
1064,,,0.038462,
1123,,,0.038462,
1168,,,0.053395,
1169,,,0.053395,
1185,,,0.053395,
1212,,,0.053395,
1229,,,0.053395,
1244,,,0.053395,
1249,,,0.053395,
1264,,,0.053395,
1269,,,0.085375,
1304,,,0.053395,
1309,,,0.085375,
1330,,,0.053395,
1367,,,0.085375,
1369,,,0.085375,
1409,,,0.106790,
1425,,,0.106790,
1432,,,0.106790,
1450,,,0.106790,
1468,,,0.113505,
1480,,,0.113505,
1495,,,0.106790,
1500,,,0.106790,
1515,,,0.135140,
1532,,,0.140507,
1549,,,0.140507,
1571,,,0.140507,
1586,,,0.171302,
1591,,,0.157818,
1608,,,0.171302,
1613,,,0.157818,
1628,,,0.153059,
1632,,,0.166928,
1647,,,0.171302,
1653,,,0.189137,
1674,,,,0.200526
1689,,,,0.200526
1709,,,,0.225526
1728,,,,0.225526
1733,,,,0.225526
1764,,,,0.262096
1767,,,,0.259259
1782,,,,0.259259
1784,,,,0.262096
1799,,,,0.298782
1804,,,,0.301247
1824,,,,0.301247
1855,,,,0.264904
1857,,,,0.281157
1872,,,,0.281157
1876,,,,0.238284
1892,,,,0.238284
1896,,,,0.221555
1912,,,,0.221555
1916,,,,0.221555
1931,,,,0.252743
1936,,,,0.266975
1951,,,,0.242755
1956,,,,0.242755
1971,,,,0.220398
1986,,,,0.202925
1987,,,,0.202925
2002,,,,0.202925
2007,,,,0.183799
2022,,,,0.202925
2028,,,,0.177698
2046,,,,0.177698
2048,,,,0.242755
2064,,,,0.220398
2067,,,,0.220398
2083,,,,0.220398
2087,,,,0.204772
2104,,,,0.235043
2108,,,,0.254651
2124,,,,0.227010
2129,,,,0.227010
2144,,,,0.227010
2149,,,,0.227010
2164,,,,0.217016
2168,,,,0.243806
2183,,,,0.243806
2188,,,,0.243806
2203,,,,0.250392
2218,,,,0.250392
2219,,,,0.283776
2236,,,,0.273151
2239,,,,0.774637
2258,,,,1.000539
